Rk,Player,Age,Team,Pos,G,FG%,3P,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Player-additional
21,DeMar DeRozan,35,SAC,SF,77,.477,1.1,0.6,3.2,3.9,4.4,0.8,0.4,22.2,,derozde01
22,Jaylen Brown,28,BOS,SF,63,.463,1.8,1.3,4.5,5.8,4.5,1.2,0.3,22.2,AS,brownja02
23,Jaren Jackson Jr.,25,MEM,C,74,.488,2.0,1.2,4.4,5.6,2.0,1.2,1.5,22.2,DPOY-7ASDEF2,jacksja02
24,Norman Powell,31,LAC,SG,60,.484,3.0,0.4,2.8,3.2,2.1,1.2,0.2,21.8,,powelno01
25,Jalen Williams,23,OKC,SG,69,.484,1.8,0.9,4.5,5.3,5.1,1.6,0.7,21.6,ASNBA3DEF2,willija06
26,Jamal Murray,27,DEN,PG,67,.474,2.3,0.7,3.2,3.9,6.0,1.4,0.5,21.4,,murraja01
27,RJ Barrett,24,TOR,SF,58,.468,1.8,1.1,5.3,6.3,5.4,0.8,0.3,21.1,,barrerj01
28,Jalen Green,22,HOU,SG,82,.423,2.9,0.5,4.0,4.6,3.4,0.9,0.3,21.0,,greenja05
29,Darius Garland,25,CLE,PG,75,.472,2.8,0.6,2.2,2.9,6.7,1.2,0.1,20.6,CPOY-6AS,garlada01
30,Jordan Poole,25,WAS,SG,68,.432,3.5,0.5,2.5,3.0,4.5,1.3,0.4,20.5,,poolejo01
31,Coby White,24,CHI,SG,74,.453,2.9,0.3,3.4,3.7,4.5,0.9,0.2,20.4,,whiteco01
32,Miles Bridges,26,CHO,PF,64,.431,2.2,1.1,6.4,7.5,3.9,0.7,0.7,20.3,,bridgmi02
33,Pascal Siakam,30,IND,PF,78,.519,1.6,1.7,5.2,6.9,3.4,0.9,0.5,20.2,AS,siakapa01
34,Austin Reaves,26,LAL,SG,73,.460,2.7,0.8,3.7,4.5,5.8,1.1,0.3,20.2,,reaveau01
35,Scottie Barnes,23,TOR,PF,65,.446,1.2,1.7,6.0,7.7,5.8,1.4,1.0,19.3,,barnesc01
36,Anfernee Simons,25,POR,SG,70,.426,3.1,0.4,2.3,2.7,4.8,0.9,0.1,19.3,,simonan01
37,Desmond Bane,26,MEM,SG,69,.484,2.4,0.9,5.2,6.1,5.3,1.2,0.4,19.2,,banede01
38,Domantas Sabonis,28,SAC,C,70,.590,0.9,3.8,10.1,13.9,6.0,0.7,0.4,19.1,,sabondo01
39,Alperen Şengün,22,HOU,C,76,.496,0.3,3.4,6.9,10.3,4.9,1.1,0.8,19.1,AS,sengual01
40,Julius Randle,30,MIN,PF,69,.485,1.6,2.1,5.0,7.1,4.7,0.7,0.2,18.7,,randlju01
41,Tyrese Haliburton,24,IND,PG,73,.473,3.0,0.6,3.0,3.5,9.2,1.4,0.7,18.6,NBA3,halibty01
42,Shaedon Sharpe,21,POR,SG,72,.452,2.0,0.9,3.6,4.5,2.8,0.9,0.2,18.5,,sharpsh01
43,Evan Mobley,23,CLE,PF,71,.557,1.2,2.3,7.0,9.3,3.2,0.9,1.6,18.5,MVP-10DPOY-1ASNBA2DEF1,mobleev01
44,Nikola Vučević,34,CHI,C,73,.530,1.8,2.4,7.6,10.1,3.5,0.8,0.7,18.5,,vucevni01
45,Collin Sexton,26,UTA,SG,63,.480,1.7,1.0,1.8,2.7,4.2,0.7,0.1,18.4,,sextoco01
46,Michael Porter Jr.,26,DEN,SF,77,.504,2.5,1.8,5.2,7.0,2.1,0.6,0.5,18.2,,portemi01
47,Bam Adebayo,27,MIA,C,78,.485,1.0,2.4,7.2,9.6,4.3,1.3,0.7,18.1,DPOY-10,adebaba01
48,OG Anunoby,27,NYK,PF,74,.476,2.3,1.3,3.5,4.8,2.2,1.5,0.9,18.0,,anunoog01
49,Andrew Wiggins,29,2TM,SF,60,.448,2.2,1.5,3.0,4.5,2.6,1.0,0.8,18.0,,wiggian01
50,Mikal Bridges,28,NYK,SF,82,.500,2.0,0.9,2.3,3.2,3.7,0.9,0.5,17.6,,bridgmi01
51,Malik Monk,26,SAC,SG,65,.439,2.1,0.5,3.3,3.8,5.6,0.9,0.6,17.2,,monkma01
52,De'Andre Hunter,27,2TM,SF,64,.470,2.5,0.7,3.3,4.0,1.4,0.8,0.2,17.0,6MOY-4,huntede01
53,Deni Avdija,24,POR,SF,72,.476,1.7,1.5,5.7,7.3,3.9,1.0,0.5,16.9,,avdijde01
54,Keyonte George,21,UTA,PG,67,.391,2.6,0.4,3.4,3.8,5.6,0.7,0.1,16.8,,georgke01
55,Ivica Zubac,27,LAC,C,80,.628,0.0,3.8,8.9,12.6,2.7,0.7,1.1,16.8,DPOY-6DEF2,zubaciv01
